Image number,position,orientation
0,"[0, 0, 0]",[-0.20366852 -0.08413698  0.00466766  0.97540674]
1,"[0, 0, 0]",[-0.39050407 -0.26984028  0.05385362  0.87851726]
2,"[0, 0, 0]",[-0.28240127 -0.09285271  0.04259134  0.95384164]
3,"[0, 0, 0]",[-0.29260473 -0.07381079 -0.04205454  0.95245255]
4,"[0, 0, 0]",[-0.16905901  0.12677028  0.26517798  0.94075979]
5,"[0, 0, 0]",[-0.06050458 -0.97435343  0.16410917 -0.1415725 ]
6,"[0, 0, 0]",[-0.36331497  0.05803904 -0.06266763  0.92774267]
7,"[0, 0, 0]",[-0.09456675  0.07454963  0.16666824  0.9786323 ]
8,"[0, 0, 0]",[-0.30305359 -0.29646521  0.05986396  0.90370527]
9,"[0, 0, 0]",[-0.33886806  0.14155655 -0.06012768  0.92817824]
10,"[0, 0, 0]",[-0.06050458 -0.97435343  0.16410917 -0.1415725 ]
11,"[0, 0, 0]",[ 0.49610308 -0.57570361  0.64866995 -0.04091926]
12,"[0, 0, 0]",[-0.35467649  0.02440266  0.23933886  0.90350761]
13,"[0, 0, 0]",[-0.32884773 -0.20831846  0.0756209   0.91801093]
14,"[0, 0, 0]",[-0.38578642 -0.15686524  0.06568725  0.90677854]
15,"[0, 0, 0]",[-0.04560816  0.3283522  -0.08077499  0.93998943]
16,"[0, 0, 0]",[-0.35325891 -0.14263219  0.06523698  0.9222843 ]
17,"[0, 0, 0]",[-0.03926796  0.04171489 -0.05456571  0.99686533]
18,"[0, 0, 0]",[-0.35810774  0.14489244  0.23486317  0.89196654]
19,"[0, 0, 0]",[-0.38336132  0.2813691  -0.09005094  0.87507506]
20,"[0, 0, 0]",[-0.42000874 -0.53155115 -0.08854582  0.73020933]
21,"[0, 0, 0]",[-0.35537229 -0.29444203  0.05723088  0.88529037]
22,"[0, 0, 0]",[-0.36030793 -0.15212047  0.06649682  0.91794103]
23,"[0, 0, 0]",[-0.27482061  0.00733308 -0.00745278  0.96143867]
24,"[0, 0, 0]",[-0.38295336 -0.1347624   0.0619431   0.91178335]
25,"[0, 0, 0]",[-0.08301179  0.07416832  0.16668835  0.97970562]
26,"[0, 0, 0]",[-0.26939093 -0.06090134  0.00177876  0.96110165]
27,"[0, 0, 0]",[-0.35699096 -0.21876381  0.04651208  0.90693797]
28,"[0, 0, 0]",[-0.06577451  0.05107202  0.17033852  0.98186056]
29,"[0, 0, 0]",[-0.47212092 -0.06041257  0.05626301  0.87765975]
30,"[0, 0, 0]",[-0.06050458 -0.97435343  0.16410917 -0.1415725 ]
31,"[0, 0, 0]",[-0.20547741  0.03654202 -0.08398108  0.97436692]
32,"[0, 0, 0]",[-0.30773981 -0.08749283  0.04346813  0.94644162]
33,"[0, 0, 0]",[0.24926735 0.12471955 0.00381484 0.96036257]
34,"[0, 0, 0]",[ 0.49610308 -0.57570361  0.64866995 -0.04091926]
35,"[0, 0, 0]",[-0.13806568  0.10389264 -0.02790299  0.98456367]
36,"[0, 0, 0]",[-0.0874657   0.03674655  0.16828197  0.98116289]
37,"[0, 0, 0]",[-0.07610207  0.24720851 -0.07868439  0.96275916]
38,"[0, 0, 0]",[0.24926735 0.12471955 0.00381484 0.96036257]
39,"[0, 0, 0]",[-0.07773879  0.09853446  0.16529919  0.97822483]
40,"[0, 0, 0]",[-0.41798941 -0.13009136  0.06096627  0.89701963]
41,"[0, 0, 0]",[0.24926735 0.12471955 0.00381484 0.96036257]
42,"[0, 0, 0]",[-0.09970178  0.09226028 -0.03212743  0.99020979]
43,"[0, 0, 0]",[ 0.49610308 -0.57570361  0.64866995 -0.04091926]
44,"[0, 0, 0]",[-0.06050458 -0.97435343  0.16410917 -0.1415725 ]
45,"[0, 0, 0]",[-0.24393382  0.01029016 -0.00755927  0.96970782]
46,"[0, 0, 0]",[-0.29296949 -0.05926163 -0.00097483  0.95428297]
47,"[0, 0, 0]",[-0.04209427  0.06118616 -0.05695376  0.99561066]
48,"[0, 0, 0]",[-0.11688483  0.04030437 -0.06696447  0.99006528]
49,"[0, 0, 0]",[-0.06050458 -0.97435343  0.16410917 -0.1415725 ]
